name,oldest,refs,ts_count,youngest
Archiclimacograptus riddellensis,Ordovician,"2, 3, 12, 53, 401",0.0,Ordovician
Cahabagnathus friendsvillensis,Ordovician,"2, 3, 12, 50, 401",0.0,Ordovician
Conochitina clavaherculi,Ordovician,"2, 3, 12, 401",0.0,Ordovician
Cyathochitina jenkinsi,Ordovician,"2, 3, 12, 401",0.0,Ordovician
Didymograptus jiangxiensis,Ordovician,"2, 3, 12, 401",0.0,Ordovician
Hustedograptus teretiusculus,Ordovician,"2, 3, 12, 329, 401",0.0,Ordovician
Laufeldochitina clavata,Ordovician,"2, 3, 12, 400, 401",0.0,Ordovician
Linochitina pissotensis,Ordovician,"2, 3, 12, 321, 401",0.0,Ordovician
Pterograptus elegans,Ordovician,"2, 3, 12, 401",0.0,Ordovician
Pygodus serra,Ordovician,"2, 3, 9, 12, 401",0.0,Ordovician
Sagittodontina kielcensis,Ordovician,"2, 3, 12, 401",0.0,Ordovician
Aseri,Ordovician,"2, 3, 9, 12, 401",0.0,Ordovician
Lasnamägi,Ordovician,"2, 3, 9, 12, 401",0.0,Ordovician
Uhaku,Ordovician,"2, 3, 9, 12, 17, 401",0.0,Ordovician
Folkeslunda,Ordovician,"2, 3, 9, 11, 12, 401",0.0,Ordovician
Lindegård Mudstone,Ordovician,"2, 3, 9, 11, 12, 17, 401",0.0,Ordovician
Seby,Ordovician,"2, 3, 9, 11, 12, 401",0.0,Ordovician
Segerstad Limestone,Ordovician,"2, 3, 9, 11, 12, 33, 401",0.0,Ordovician
Skärlöv,Ordovician,"2, 3, 9, 11, 12, 401",0.0,Ordovician
Llandeilian,Ordovician,"2, 3, 12, 401",0.0,Ordovician
Conochitina parvicolla,Ordovician,"2, 3, 12, 346, 401",0.0,Ordovician
Gymnograptus linnarssoni,Ordovician,"2, 3, 12, 53, 321, 401",0.0,Ordovician
Phragmodus flexuosus,Ordovician,"2, 3, 12, 27, 401",0.0,Ordovician
Baltoplacognathus reclinatus,Ordovician,"2, 3, 12, 51, 401",0.0,Ordovician
Baltoplacognathus robustus,Ordovician,"2, 3, 12, 51, 401",0.0,Ordovician
Yangtzeplacognathus protoramosus,Ordovician,"2, 3, 12, 14, 401",0.0,Ordovician
Eoplacognathus lindstroemi,Ordovician,"2, 3, 12, 51, 401",0.0,Ordovician
Crozonorthis musculosa,Ordovician,"2, 3, 12, 321, 401",0.0,Ordovician
Heterorthina kerfornei,Ordovician,"2, 3, 12, 321, 401",0.0,Ordovician
Morgatia hupei,Ordovician,"2, 3, 12, 321, 401",0.0,Ordovician
Morgatia primitiva,Ordovician,"2, 3, 12, 321, 401",0.0,Ordovician
