name,oldest,youngest,ts_count,refs,rule
Hidden Falls,Ordovician,Ordovician,0.0,173,6.9
Buff Limestone,Ordovician,Ordovician,0.0,210,6.9
Blue Lower,Ordovician,Ordovician,0.0,121,6.9
Buff Lower,Ordovician,Ordovician,0.0,121,6.9
Glenwood Shale,Ordovician,Ordovician,0.0,121,6.9
Magnolia,Ordovician,Ordovician,0.0,173,6.9
New Enterprise,Ordovician,Ordovician,0.0,388,6.9
Roaring Spring,Ordovician,Ordovician,0.0,388,6.9
St. Paul,Ordovician,Ordovician,0.0,113,6.9
Etasje 4a,Ordovician,Ordovician,0.0,29,6.9
Robergia,Ordovician,Ordovician,0.0,29,6.9
Alpartir,Ordovician,Ordovician,0.0,310,6.9
Marité,Ordovician,Ordovician,0.0,310,6.9
Quargla,Ordovician,Ordovician,0.0,238,6.9
Camp Canic,Ordovician,Ordovician,0.0,124,6.9
Furnesfjorden,Ordovician,Ordovician,0.0,23,6.9
Holtjern,Ordovician,Ordovician,0.0,23,6.9
Encrinite Limestone,Ordovician,Ordovician,0.0,29,6.9
Coelosphaeridium,Ordovician,Ordovician,0.0,29,6.9
Cyclocrinus,Ordovician,Ordovician,0.0,29,6.9
Fombuena,Ordovician,Ordovician,0.0,310,6.9
Zdice-Nucice,Ordovician,Ordovician,0.0,310,6.9
Cwm Eigiau Formation,Ordovician,Ordovician,0.0,124,6.9
Yr Arddu Tuffs,Ordovician,Ordovician,0.0,124,6.9
Glyn Gower Siltstones,Ordovician,Ordovician,0.0,124,6.9
Cape Discovery,Ordovician,Ordovician,0.0,270,6.9
Amsterdam Limestone,Ordovician,Ordovician,0.0,121,6.9
Decorah Shale Upper,Ordovician,Ordovician,0.0,121,6.9
Amsterdam,Ordovician,Ordovician,0.0,137,6.9
Hatter,Ordovician,Ordovician,0.0,137,6.9
Loysburg,Ordovician,Ordovician,0.0,137,6.9
Snyder,Ordovician,Ordovician,0.0,137,6.9
Pencil Cave K-bentonite,Ordovician,Ordovician,0.0,211,6.9
453.18,Ordovician,Ordovician,0.0,214,6.9
453.46,Ordovician,Ordovician,0.0,214,6.9
454.02,Ordovician,Ordovician,0.0,214,6.9
454.3,Ordovician,Ordovician,0.0,214,6.9
453.54,Ordovician,Ordovician,0.0,214,6.9
453.74,Ordovician,Ordovician,0.0,214,6.9
453.94,Ordovician,Ordovician,0.0,214,6.9
453.52,Ordovician,Ordovician,0.0,388,6.9
453.67,Ordovician,Ordovician,0.0,388,6.9
453.82,Ordovician,Ordovician,0.0,388,6.9
Lurich,Ordovician,Ordovician,0.0,389,6.9
Peery Limestone,Ordovician,Ordovician,0.0,123,6.9
Ward Cove Limestone,Ordovician,Ordovician,0.0,83,6.9
Rob Camp,Ordovician,Ordovician,0.0,166,6.9
Peery,Ordovician,Ordovician,0.0,83,6.9
Etasje 3c,Ordovician,Ordovician,0.0,29,6.9
Vasagaardian,Ordovician,Ordovician,0.0,296,6.9
Cystidean Limestone,Ordovician,Ordovician,0.0,11,6.9
Echinosphaerites Limestone,Ordovician,Ordovician,0.0,11,6.9
Berriefield K-bentonite,Ordovician,Ordovician,0.0,211,6.9
Wildernessian,Ordovician,Ordovician,0.0,183,6.9
Igzert,Ordovician,Ordovician,0.0,304,6.9
Izgouiren,Ordovician,Ordovician,0.0,304,6.9
Oininirhene,Ordovician,Ordovician,0.0,304,6.9
Mamuniyat,Ordovician,Ordovician,0.0,319,6.9
Malaya Tavrota Lower,Ordovician,Ordovician,0.0,246,6.9
Muker,Ordovician,Ordovician,0.0,246,6.9
Ust-Zyb,Ordovician,Ordovician,0.0,246,6.9
Bad'ya reef,Ordovician,Ordovician,0.0,246,6.9
Khorejver,Ordovician,Ordovician,0.0,246,6.9
Malaya Tavrota Upper,Ordovician,Ordovician,0.0,246,6.9
Bou-Isidane-Jbel-Slope,Ordovician,Ordovician,0.0,126,6.9
Tafersikt-Jbel,Ordovician,Ordovician,0.0,126,6.9
Tiberguent-Jbel,Ordovician,Ordovician,0.0,126,6.9
Amouguer,Ordovician,Ordovician,0.0,238,6.9
Assif bou Zeggarh,Ordovician,Ordovician,0.0,238,6.9
Middle Tiouririne,Ordovician,Ordovician,0.0,238,6.9
Melez Chograne,Ordovician,Ordovician,0.0,319,6.9
Huangnigang,Ordovician,Ordovician,0.0,371,6.9
Shuinychang,Ordovician,Ordovician,0.0,371,6.9
Cobbanah,Ordovician,Ordovician,0.0,219,6.9
Deep Creek Siltstone,Ordovician,Ordovician,0.0,219,6.9
Yalmy,Ordovician,Ordovician,0.0,219,6.9
Des Jean,Ordovician,Ordovician,0.0,368,6.9
L'Irlande,Ordovician,Ordovician,0.0,368,6.9
Isle la Motte,Ordovician,Ordovician,0.0,189,6.9
Lower Trenton,Ordovician,Ordovician,0.0,79,6.9
Tremblay,Ordovician,Ordovician,0.0,79,6.9
Hershey,Ordovician,Ordovician,0.0,137,6.9
Linden Hall,Ordovician,Ordovician,0.0,137,6.9
Mud Cave K-bentonite,Ordovician,Ordovician,0.0,211,6.9
452.57,Ordovician,Ordovician,0.0,214,6.9
452.27,Ordovician,Ordovician,0.0,214,6.9
452.52,Ordovician,Ordovician,0.0,214,6.9
453.15,Ordovician,Ordovician,0.0,214,6.9
453.2,Ordovician,Ordovician,0.0,214,6.9
453.45,Ordovician,Ordovician,0.0,214,6.9
481.86,Ordovician,Ordovician,0.0,214,6.9
452.77,Ordovician,Ordovician,0.0,388,6.9
452.92,Ordovician,Ordovician,0.0,388,6.9
453.07,Ordovician,Ordovician,0.0,388,6.9
452.59,Ordovician,Ordovician,0.0,214,6.9
452.85,Ordovician,Ordovician,0.0,214,6.9
453.16,Ordovician,Ordovician,0.0,214,6.9
453.47,Ordovician,Ordovician,0.0,214,6.9
453.73,Ordovician,Ordovician,0.0,214,6.9
Etasje 4b,Ordovician,Ordovician,0.0,29,6.9
Shoreham,Ordovician,Ordovician,0.0,181,6.9
Trenton Upper,Ordovician,Ordovician,0.0,79,6.9
Kuyahoora K-Bentonite,Ordovician,Ordovician,0.0,211,6.9
City Brook,Ordovician,Ordovician,0.0,193,6.9
High Falls K-bentonite,Ordovician,Ordovician,0.0,193,6.9
Castle Road,Ordovician,Ordovician,0.0,193,6.9
North Gage,Ordovician,Ordovician,0.0,193,6.9
Westboro K-bentonite,Ordovician,Ordovician,0.0,211,6.9
Bryozoan Limestone,Ordovician,Ordovician,0.0,11,6.9
Norderhov,Ordovician,Ordovician,0.0,341,6.9
Ludibundus Limestone,Ordovician,Ordovician,0.0,11,6.9
Capitol K-bentonite,Ordovician,Ordovician,0.0,211,6.9
Shaker Creek K-bentonite,Ordovician,Ordovician,0.0,211,6.9
Larrabee,Ordovician,Ordovician,0.0,137,6.9
Meyerstown,Ordovician,Ordovician,0.0,137,6.9
Glaucester,Ordovician,Ordovician,0.0,189,6.9
Paris,Ordovician,Ordovician,0.0,121,6.9
Groos Quarry,Ordovician,Ordovician,0.0,156,6.9
Calmar K-bentonite,Ordovician,Ordovician,0.0,388,6.9
Quinsberry Road K-bentonite,Ordovician,Ordovician,0.0,211,6.9
Paradise K-bentonite,Ordovician,Ordovician,0.0,222,6.9
Denmarkian,Ordovician,Ordovician,0.0,181,6.9
Camp Limestone,Ordovician,Ordovician,0.0,148,6.9
Denmark Upper,Ordovician,Ordovician,0.0,148,6.9
Triplecia,Ordovician,Ordovician,0.0,210,6.9
Lower Glyptorthis insculpta,Ordovician,Ordovician,0.0,397,6.9
Oldenburg,Ordovician,Ordovician,0.0,397,6.9
Roaring Brook,Ordovician,Ordovician,0.0,397,6.9
Upper Disturbed,Ordovician,Ordovician,0.0,397,6.9
Middle Clarksville,Ordovician,Ordovician,0.0,397,6.9
Stony Hollow Creek,Ordovician,Ordovician,0.0,397,6.9
Fusispira,Ordovician,Ordovician,0.0,210,6.9
Lingulasma,Ordovician,Ordovician,0.0,210,6.9
Schmiedefeld,Ordovician,Ordovician,0.0,47,6.9
Wolayer Limestone,Ordovician,Ordovician,0.0,278,6.9
Abak,Ordovician,Ordovician,0.0,373,6.9
Valley Brook Shale,Ordovician,Ordovician,0.0,193,6.9
Rysedorf,Ordovician,Ordovician,0.0,357,6.9
Clearview Limestone,Ordovician,Ordovician,0.0,87,6.9
Downderry Limestone,Ordovician,Ordovician,0.0,87,6.9
Margules,Ordovician,Ordovician,0.0,202,6.9
Dunhill Bluff Limestone,Ordovician,Ordovician,0.0,87,6.9
Regans Creek Limestone,Ordovician,Ordovician,0.0,87,6.9
Taplow Limestone,Ordovician,Ordovician,0.0,87,6.9
Transmission Limestone,Ordovician,Ordovician,0.0,87,6.9
Davys Creek Limestone,Ordovician,Ordovician,0.0,87,6.9
Large Flat Limestone,Ordovician,Ordovician,0.0,87,6.9
Boonderoo Limestone,Ordovician,Ordovician,0.0,87,6.9
Gleesons Limestone,Ordovician,Ordovician,0.0,87,6.9
Kalimna Limestone,Ordovician,Ordovician,0.0,87,6.9
Wyoming Limestone,Ordovician,Ordovician,0.0,87,6.9
Corner Limestone,Ordovician,Ordovician,0.0,87,6.9
Lords,Ordovician,Ordovician,0.0,203,6.9
Gongwusu,Ordovician,Ordovician,0.0,372,6.9
Sheshan,Ordovician,Ordovician,0.0,372,6.9
Yinchuan,Ordovician,Ordovician,0.0,372,6.9
Sanqushan,Ordovician,Ordovician,0.0,53,6.9
Xiazhen,Ordovician,Ordovician,0.0,53,6.9
Yuchien,Ordovician,Ordovician,0.0,53,6.9
Hongjiawu,Ordovician,Ordovician,0.0,53,6.9
Wenchang,Ordovician,Ordovician,0.0,53,6.9
Yankou,Ordovician,Ordovician,0.0,53,6.9
Nematopora,Ordovician,Ordovician,0.0,210,6.9
Parastrophina,Ordovician,Ordovician,0.0,210,6.9
Anastrophia,Ordovician,Ordovician,0.0,210,6.9
Clitambonites Upper,Ordovician,Ordovician,0.0,210,6.9
Swallowfield K-bentonite,Ordovician,Ordovician,0.0,211,6.9
Sleepy Hollow K-bentonite,Ordovician,Ordovician,0.0,211,6.9
Rockdell Limestone,Ordovician,Ordovician,0.0,83,6.9
Gun Club Road,Ordovician,Ordovician,0.0,193,6.9
Stictopora,Ordovician,Ordovician,0.0,210,6.9
Capitol City K-bentonite,Ordovician,Ordovician,0.0,222,6.9
Phylloporina-Ctenodonta,Ordovician,Ordovician,0.0,210,6.9
Ben Hur Limestone,Ordovician,Ordovician,0.0,166,6.9
Hardy Creek,Ordovician,Ordovician,0.0,166,6.9
Sherman Fall K-bentonite,Ordovician,Ordovician,0.0,211,6.9
Grand Detour isotope carbon excursion,Ordovician,Ordovician,0.0,153,6.9
Dement,Ordovician,Ordovician,0.0,151,6.9
Forreston,Ordovician,Ordovician,0.0,151,6.9
Hely,Ordovician,Ordovician,0.0,151,6.9
Stillman,Ordovician,Ordovician,0.0,151,6.9
Victory,Ordovician,Ordovician,0.0,151,6.9
Wallgreen,Ordovician,Ordovician,0.0,151,6.9
Mifflin isotope carbon excursion,Ordovician,Ordovician,0.0,153,6.9
Blomeyer,Ordovician,Ordovician,0.0,151,6.9
Brickeys,Ordovician,Ordovician,0.0,151,6.9
Briton,Ordovician,Ordovician,0.0,151,6.9
Establishment,Ordovician,Ordovician,0.0,151,6.9
Hazelwood,Ordovician,Ordovician,0.0,151,6.9
Sainte-Monique,Ordovician,Ordovician,0.0,340,6.9
Carmel River,Ordovician,Ordovician,0.0,340,6.9
Courval,Ordovician,Ordovician,0.0,340,6.9
Pontgravé River,Ordovician,Ordovician,0.0,340,6.9
Sainte-Perpétue,Ordovician,Ordovician,0.0,340,6.9
Capitol Limestone,Ordovician,Ordovician,0.0,121,6.9
Mount Pleasant,Ordovician,Ordovician,0.0,121,6.9
Woodburn,Ordovician,Ordovician,0.0,121,6.9
Red Tretaspis Shale,Ordovician,Ordovician,0.0,11,6.9
Lolashor,Ordovician,Ordovician,0.0,35,6.9
Yantsin,Ordovician,Ordovician,0.0,52,6.9
Chientsaokou,Ordovician,Ordovician,0.0,64,6.9
Eldena,Ordovician,Ordovician,0.0,151,6.9
Elm,Ordovician,Ordovician,0.0,151,6.9
Everett,Ordovician,Ordovician,0.0,151,6.9
Confinis,Ordovician,Ordovician,0.0,124,6.9
Kirkland Conglomerate,Ordovician,Ordovician,0.0,124,6.9
Stinchar Limestone,Ordovician,Ordovician,0.0,124,6.9
Superstes,Ordovician,Ordovician,0.0,124,6.9
Bellerophon,Ordovician,Ordovician,0.0,210,6.9
Black Trinucleus Shale,Ordovician,Ordovician,0.0,11,6.9
O1,Ordovician,Ordovician,0.0,147,6.9
O2,Ordovician,Ordovician,0.0,147,6.9
O4,Ordovician,Ordovician,0.0,147,6.9
O5,Ordovician,Ordovician,0.0,147,6.9
O3,Ordovician,Ordovician,0.0,147,6.9
Pliensbachien inférieur,Jurassic,Jurassic,0.0,409,6.9
Pliensbachien supérieur,Jurassic,Jurassic,0.0,409,6.9
Mittlejura,Jurassic,Jurassic,0.0,408,6.9
Sequan,Jurassic,Jurassic,0.0,408,6.9
