name,oldest,youngest,ts_count,refs,rule
Oulodus robustus,Katian,Katian,0.0,12,1.0
Oulodus velicuspis,Katian,Katian,0.0,12,1.0
Paraorthograptus pacificus,Katian,Katian,0.0,"400, 12",1.0
Plectodina tenuis,Katian,Katian,0.0,12,1.0
Pleurograptus linearis,Katian,Katian,0.0,12,1.0
pre-pacificus,Katian,Katian,0.0,12,1.0
Tanuchitina fistulosa,Katian,Katian,0.0,"400, 12",1.0
Acanthodina nobilis,Katian,Katian,0.0,399,1.0
Belodina compressa - Culumbodina mangazeica,Sandbian,Katian,1.0,399,1.0
Boreadorthis asiatica,Katian,Katian,0.0,399,1.0
Bumastus,Katian,Katian,0.0,399,1.0
Dolborella plana,Katian,Katian,0.0,399,1.0
Evenkorhynchia dichotomians evenkiensis,Katian,Katian,0.0,399,1.0
Glyptograptus siccatus/Oepikograptus bekkeri/ Amplexograptus fallax/ Glyptograptus eugluphus,Sandbian,Katian,1.0,399,1.0
Maakina parvuliformis-Leptellina carinata,Sandbian,Katian,1.0,399,1.0
Ozarkodina dolborica - Acanthocordyloduy festus,Katian,Katian,0.0,399,1.0
Appendispinograptus supernus,Katian,Katian,0.0,400,1.0
Diplacanthograptus caudatus,Katian,Katian,0.0,400,1.0
Orthograptus quadrimucronatus,Katian,Katian,0.0,400,1.0
Nemagraptus gracilis/ Oepikograptus bekkeri,Sandbian,Sandbian,0.0,400,1.0
Amorphognathus inaequalis,Sandbian,Sandbian,0.0,"400, 12",1.0
Baltoniodus gerdae,Sandbian,Sandbian,0.0,"400, 12",1.0
Baltoniodus variabilis,Sandbian,Sandbian,0.0,"400, 12",1.0
Belodina compressa,Sandbian,Sandbian,0.0,12,1.0
Climacograptus peltifer,Sandbian,Sandbian,0.0,12,1.0
Diplograptus foliaceus,Sandbian,Sandbian,0.0,12,1.0
Diplograptus multidens,Sandbian,Sandbian,0.0,12,1.0
Erismodus quadridactylus,Sandbian,Sandbian,0.0,12,1.0
Lagenochitina dalbyensis,Sandbian,Sandbian,0.0,"400, 12",1.0
Lagenochitina deunffi,Sandbian,Sandbian,0.0,"400, 12",1.0
Lagenochitina ponceti,Sandbian,Sandbian,0.0,"400, 12",1.0
Nemagraptus gracilis,Sandbian,Sandbian,0.0,12,1.0
Orthograptus calcaratus,Sandbian,Sandbian,0.0,12,1.0
Plectodina aculeata,Sandbian,Sandbian,0.0,12,1.0
Plectodina undatus,Sandbian,Sandbian,0.0,12,1.0
Bodenia aspera,Sandbian,Sandbian,0.0,399,1.0
Cahabagnathus sweeti - Phragmodus inflexus,Sandbian,Sandbian,0.0,399,1.0
Isalaux stricta,Sandbian,Sandbian,0.0,399,1.0
Mimella panna,Sandbian,Sandbian,0.0,399,1.0
Parajonesites notabilis,Sandbian,Sandbian,0.0,399,1.0
Climacograptus bicornis,Sandbian,Sandbian,0.0,400,1.0
Diplograptus multidens/ Diplograptus foliaceus,Sandbian,Sandbian,0.0,400,1.0
MN faunizone H,Floian,Floian,0.0,244,1.0
MN faunizone I,Floian,Floian,0.0,244,1.0
MN faunizone J,Floian,Floian,0.0,244,1.0
MN faunizone K,Floian,Floian,0.0,244,1.0
Conochitina symmetrica,Floian,Floian,0.0,"400, 12",1.0
Corymbograptus varicosus,Floian,Floian,0.0,12,1.0
Didymograptus protobifidus,Floian,Floian,0.0,12,1.0
Eremochitina baculata,Floian,Floian,0.0,"400, 12",1.0
Expansograptus simulans,Floian,Floian,0.0,12,1.0
Isograptus primulus,Floian,Floian,0.0,12,1.0
Isograptus victoriae lunatus,Floian,Floian,0.0,12,1.0
Oepikodus communis,Floian,Floian,0.0,12,1.0
Oepikodus evae,Floian,Floian,0.0,12,1.0
Pendeograptus fruticosus,Floian,Floian,0.0,12,1.0
