name,oldest,youngest,ts_count,refs,rule
Waynesville isotope carbon excursion,Ka2,Ka2,0.0,"17, 46, 9",2.0
Ashgill,Ka2,Hi2,4.0,2,2.0
Cincinnatian,Ka2,Hi2,4.0,2,2.0
Dolborian,Ka2,Ka3,1.0,2,2.0
Harju,Ka2,Hi2,4.0,2,2.0
Maysvillian,Ka2,Ka2,0.0,"12, 2",2.0
Nabala,Ka2,Ka2,0.0,"17, 2, 12, 9",2.0
Pusgillian,Ka3,Ka4,1.0,"12, 2",2.0
Gabian,Ka3,Ka4,1.0,"76, 242",2.0
Porto de Santa Anna,Ka2,Ka4,2.0,396,2.0
Richmondian,Ka4,Ka4,0.0,"12, 2, 46",2.0
BC10,Ka2,Ka3,1.0,9,2.0
Fairview isotope carbon excursion,Ka2,Ka2,0.0,9,2.0
Montu,Ka2,Ka2,0.0,9,2.0
Paekna,Ka2,Ka2,0.0,9,2.0
Saunja,Ka2,Ka3,1.0,9,2.0
Three Mile,Ka2,Ka3,1.0,41,2.0
Eureka Quartzite,Ka2,Ka2,0.0,17,2.0
Schenectady,Ka2,Ka2,0.0,17,2.0
Vormsi,Ka3,Ka3,0.0,"12, 2, 17, 9",2.0
Bohdalec,Ka2,Ka2,0.0,271,2.0
Birdshill Limestone,Ka2,Ka3,1.0,47,2.0
Cautley Mudstone,Ka2,Ka3,1.0,47,2.0
Crug Limestone,Ka2,Ka3,1.0,47,2.0
Dubuque,Ka2,Ka3,1.0,47,2.0
Vaureal,Ka2,Ka4,2.0,46,2.0
Kanachu,Ka2,Ka4,2.0,67,2.0
Kulunbulak,Ka2,Ka4,2.0,67,2.0
Kyzylsai,Ka2,Ka3,1.0,67,2.0
Bulukhta,Ka2,Hi1,3.0,281,2.0
Tekhten,Ka2,Hi2,4.0,281,2.0
Sandbian isotope carbon excursion,Sa2,Sa2,0.0,17,2.0
Burrellian,Sa2,Sa2,0.0,"12, 2",2.0
Gisbornian,Sa1,Sa2,1.0,"12, 2",2.0
Harjala,Sa2,Sa2,0.0,2,2.0
Lower Berounian,Sa1,Sa1,0.0,"2, 321",2.0
Turinian,Sa2,Sa2,0.0,"12, 2",2.0
Favacal,Sa2,Sa2,0.0,"286, 265",2.0
Pääsküla,Sa2,Sa2,0.0,18,2.0
Saue,Sa2,Sa2,0.0,18,2.0
Calapuja,Sa2,Sa2,0.0,267,2.0
Adze,Sa2,Sa2,0.0,9,2.0
BC5,Sa1,Sa2,1.0,9,2.0
Dalby,Sa1,Sa2,1.0,"17, 9",2.0
Haljala,Sa2,Sa2,0.0,"12, 17, 9",2.0
Kahula,Sa2,Sa2,0.0,9,2.0
Tatruse,Sa2,Sa2,0.0,9,2.0
Kinnekulle K-bentonite,Sa2,Sa2,0.0,17,2.0
Watertown,Sa2,Sa2,0.0,17,2.0
Aurelucian,Sa1,Sa1,0.0,"12, 2",2.0
Letná,Sa2,Sa2,0.0,271,2.0
Libeň,Sa1,Sa2,1.0,271,2.0
Anderken,Sa2,Sa2,0.0,67,2.0
Andryushina,Sa2,Sa2,0.0,67,2.0
Ba gara,Sa1,Sa2,1.0,67,2.0
Bestamak,Sa1,Sa2,1.0,67,2.0
Erkebidaik,Sa2,Sa2,0.0,67,2.0
Sarybidaik,Sa1,Sa2,1.0,67,2.0
